airline_name,type,flight_date,timestamp,price
United Airlines,Total,18 March – 13 April,2023-01-31,"2,469"
United Airlines,Total,18 March – 14 April,2023-01-31,"3,174"
United Airlines,Total,18 March – 15 April,2023-01-31,"3,533"
United Airlines,Total,18 March – 16 April,2023-01-31,"3,930"
United Airlines,Total,18 March – 17 April,2023-01-31,"5,713"
United Airlines,Total,18 March – 18 April,2023-01-31,"6,283"
United Airlines,Total,18 March – 19 April,2023-01-31,"6,395"
United Airlines,Departure,1880,2023-02-01,"1,923"
United Airlines,Departure,1850,2023-02-01,"1,960"
United Airlines,Departure,1200,2023-02-01,"1,067"
United Airlines,Departure,1000,2023-02-01,918
United Airlines,Departure,1900,2023-02-01,"1,819"
United Airlines,Departure,1990,2023-02-01,"2,311"
United Airlines,Departure,1760,2023-02-01,"2,250"
United Airlines,Return,13 April,2023-02-01,590
United Airlines,Return,14 April,2023-02-01,680
United Airlines,Return,15 April,2023-02-01,731
United Airlines,Return,16 April,2023-02-01,756
United Airlines,Return,17 April,2023-02-01,740
United Airlines,Return,18 April,2023-02-01,498
United Airlines,Return,19 April,2023-02-01,433
United Airlines,Total,12 March – 13 April,2023-02-01,"2,512"
United Airlines,Total,12 March – 14 April,2023-02-01,"3,239"
United Airlines,Total,12 March – 15 April,2023-02-01,"3,558"
United Airlines,Total,12 March – 16 April,2023-02-01,"3,925"
United Airlines,Total,12 March – 17 April,2023-02-01,"5,605"
United Airlines,Total,12 March – 18 April,2023-02-01,"6,201"
United Airlines,Total,12 March – 19 April,2023-02-01,"6,515"
United Airlines,Total,13 March – 13 April,2023-02-01,"2,524"
United Airlines,Total,13 March – 14 April,2023-02-01,"3,200"
United Airlines,Total,13 March – 15 April,2023-02-01,"3,578"
United Airlines,Total,13 March – 16 April,2023-02-01,"3,923"
United Airlines,Total,13 March – 17 April,2023-02-01,"5,518"
United Airlines,Total,13 March – 18 April,2023-02-01,"6,111"
United Airlines,Total,13 March – 19 April,2023-02-01,"6,403"
United Airlines,Total,14 March – 13 April,2023-02-01,"2,544"
United Airlines,Total,14 March – 14 April,2023-02-01,"3,202"
United Airlines,Total,14 March – 15 April,2023-02-01,"3,466"
United Airlines,Total,14 March – 16 April,2023-02-01,"3,944"
United Airlines,Total,14 March – 17 April,2023-02-01,"5,695"
United Airlines,Total,14 March – 18 April,2023-02-01,"6,114"
United Airlines,Total,14 March – 19 April,2023-02-01,"6,395"
United Airlines,Total,15 March – 13 April,2023-02-01,"2,604"
United Airlines,Total,15 March – 14 April,2023-02-01,"3,236"
United Airlines,Total,15 March – 15 April,2023-02-01,"3,485"
United Airlines,Total,15 March – 16 April,2023-02-01,"3,946"
United Airlines,Total,15 March – 17 April,2023-02-01,"5,632"
United Airlines,Total,15 March – 18 April,2023-02-01,"6,129"
United Airlines,Total,15 March – 19 April,2023-02-01,"6,516"
United Airlines,Total,16 March – 13 April,2023-02-01,"2,588"
United Airlines,Total,16 March – 14 April,2023-02-01,"3,296"
United Airlines,Total,16 March – 15 April,2023-02-01,"3,476"
United Airlines,Total,16 March – 16 April,2023-02-01,"3,979"
United Airlines,Total,16 March – 17 April,2023-02-01,"5,609"
United Airlines,Total,16 March – 18 April,2023-02-01,"6,203"
United Airlines,Total,16 March – 19 April,2023-02-01,"6,488"
United Airlines,Total,17 March – 13 April,2023-02-01,"2,466"
United Airlines,Total,17 March – 14 April,2023-02-01,"3,124"
United Airlines,Total,17 March – 15 April,2023-02-01,"3,456"
United Airlines,Total,17 March – 16 April,2023-02-01,"3,928"
United Airlines,Total,17 March – 17 April,2023-02-01,"5,551"
United Airlines,Total,17 March – 18 April,2023-02-01,"6,214"
United Airlines,Total,17 March – 19 April,2023-02-01,"6,483"
United Airlines,Total,18 March – 13 April,2023-02-01,"2,445"
United Airlines,Total,18 March – 14 April,2023-02-01,"3,226"
United Airlines,Total,18 March – 15 April,2023-02-01,"3,406"
United Airlines,Total,18 March – 16 April,2023-02-01,"3,978"
United Airlines,Total,18 March – 17 April,2023-02-01,"5,610"
United Airlines,Total,18 March – 18 April,2023-02-01,"6,135"
United Airlines,Total,18 March – 19 April,2023-02-01,"6,428"
United Airlines,Departure,1880,2023-02-02,"2,040"
United Airlines,Departure,1850,2023-02-02,"1,801"
United Airlines,Departure,1200,2023-02-02,"1,244"
United Airlines,Departure,1000,2023-02-02,"1,319"
United Airlines,Departure,1900,2023-02-02,"2,044"
United Airlines,Departure,1990,2023-02-02,"1,853"
United Airlines,Departure,1760,2023-02-02,"1,999"
United Airlines,Return,13 April,2023-02-02,490
United Airlines,Return,14 April,2023-02-02,818
United Airlines,Return,15 April,2023-02-02,764
United Airlines,Return,16 April,2023-02-02,597
United Airlines,Return,17 April,2023-02-02,606
United Airlines,Return,18 April,2023-02-02,441
United Airlines,Return,19 April,2023-02-02,419
United Airlines,Total,12 March – 13 April,2023-02-02,"2,431"
